職場の様子,休日休暇(月曜日),（派遣先）配属先部署　男女比　男,大手企業,交通費別途支給,（派遣先）配属先部署　人数,残業月20時間以上,職種コード,1日7時間以下勤務OK,短時間勤務OK(1日4h以内),学校・公的機関（官公庁）,土日祝のみ勤務,Wordのスキルを活かす,勤務地　最寄駅1（分）,お仕事No.,派遣スタッフ活躍中,大量募集,Accessのスキルを活かす,休日休暇(火曜日),平日休みあり,フラグオプション選択,期間・時間　勤務期間,派遣形態,週2・3日OK,勤務先公開,Excelのスキルを活かす,16時前退社OK,正社員登用あり,残業月20時間未満,英語力不要,休日休暇(日曜日),社員食堂あり,10時以降出社OK,英語以外の語学力を活かす,休日休暇(祝日),外資系企業,服装自由,PowerPointのスキルを活かす,休日休暇(土曜日),休日休暇(木曜日),（派遣先）配属先部署　平均年齢,英語力を活かす,会社概要　業界コード,勤務地　都道府県コード,PCスキル不要,制服あり,休日休暇(水曜日),仕事の仕方,勤務地　最寄駅1（駅からの交通手段）,紹介予定派遣,シフト勤務,経験者優遇,週4日勤務,未経験OK,土日祝休み,給与/交通費　交通費,休日休暇(金曜日),扶養控除内,給与/交通費　給与下限,オフィスが禁煙・分煙,勤務地　市区町村コード,残業なし
3,0,7,0,0,3,0,20410,1,0,0,0,1,3,2203564104,1,0,0,0,0,1,5,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,35,0,28000,13,0,0,0,4,1,0,0,1,0,0,1,3,0,0,2000,1,104,0
3,0,2,0,1,5,0,22020,0,0,0,0,1,10,2203508914,0,0,0,0,0,3,5,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,41,0,30000,13,0,0,0,2,1,1,0,1,0,1,1,2,0,0,1750,1,102,1
3,0,2,0,1,5,0,22020,0,0,0,0,1,10,2203508914,0,0,0,0,0,3,5,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,41,0,30000,13,0,0,0,2,1,1,0,1,0,1,1,2,0,0,1750,1,102,1
3,0,2,1,1,6,0,20020,1,0,0,0,1,5,2203568292,0,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,42,0,29000,13,0,0,0,4,1,0,0,1,0,1,1,2,0,0,1550,1,121,1
3,0,5,0,0,21,0,22030,0,0,0,0,1,1,2203508238,0,0,0,0,0,3,5,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,33,0,27000,13,0,0,0,3,1,1,0,1,0,1,1,3,0,0,1650,1,101,1
3,0,5,0,0,21,0,22030,0,0,0,0,1,1,2203508238,0,0,0,0,0,3,5,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,33,0,27000,13,0,0,0,3,1,1,0,1,0,1,1,3,0,0,1650,1,101,1
3,0,3,1,0,6,0,20320,0,0,0,0,1,3,2203569471,1,0,1,0,0,1,5,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,35,1,21000,13,0,0,0,5,1,0,0,1,0,0,1,3,0,0,2300,1,101,1
3,0,8,0,0,6,0,20020,0,0,0,0,1,6,2203537199,0,0,0,0,0,3,5,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,41,0,28000,13,0,0,0,3,1,1,0,1,0,1,1,3,0,0,1650,1,202,1
3,0,8,0,0,6,0,20020,0,0,0,0,1,6,2203537199,0,0,0,0,0,3,5,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,41,0,28000,13,0,0,0,3,1,1,0,1,0,1,1,3,0,0,1650,1,202,1
3,0,9,0,0,7,1,20020,0,0,1,0,1,6,2203546087,0,0,0,0,0,3,5,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,41,0,30000,13,0,0,0,1,1,1,0,1,0,1,1,3,0,0,1650,1,102,0
3,0,9,0,0,7,1,20020,0,0,1,0,1,6,2203546087,0,0,0,0,0,3,5,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,41,0,30000,13,0,0,0,1,1,1,0,1,0,1,1,3,0,0,1650,1,102,0
3,0,2,0,0,69,0,22030,1,0,0,0,1,1,2203517850,0,0,1,0,0,3,5,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,40,0,27000,13,0,0,0,5,1,1,0,1,0,1,1,3,0,0,1610,1,104,1
3,0,2,0,0,69,0,22030,1,0,0,0,1,1,2203517850,0,0,1,0,0,3,5,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,40,0,27000,13,0,0,0,5,1,1,0,1,0,1,1,3,0,0,1610,1,104,1
3,0,4,1,0,12,0,20040,0,0,0,0,1,1,2203552261,1,0,0,0,0,1,5,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,47,0,28000,13,0,0,0,5,1,0,0,1,0,1,1,3,0,0,1750,1,104,0
3,0,0,0,0,2,0,20020,1,1,0,0,1,10,2203506122,0,0,0,0,0,1,5,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,40,0,27000,13,0,0,0,3,1,0,0,1,0,1,1,3,0,0,1290,1,116,1
3,0,0,0,0,2,0,20020,1,1,0,0,1,10,2203506122,0,0,0,0,0,1,5,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,40,0,27000,13,0,0,0,3,1,0,0,1,0,1,1,3,0,0,1290,1,116,1
3,0,5,0,0,8,1,20020,1,0,0,0,1,5,2203490910,1,0,0,0,0,3,5,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,38,1,27000,13,0,0,0,5,1,1,0,1,0,1,1,3,0,0,1700,1,101,0
3,0,5,0,0,8,1,20020,1,0,0,0,1,5,2203490910,1,0,0,0,0,3,5,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,38,1,27000,13,0,0,0,5,1,1,0,1,0,1,1,3,0,0,1700,1,101,0
3,0,5,0,0,34,1,22020,0,0,0,0,0,10,2203544503,1,0,0,0,0,3,5,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,35,0,27000,13,0,0,0,1,1,1,0,1,0,1,1,3,0,0,1700,1,101,0
3,0,5,0,0,34,1,22020,0,0,0,0,0,10,2203544503,1,0,0,0,0,3,5,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,35,0,27000,13,0,0,0,1,1,1,0,1,0,1,1,3,0,0,1700,1,101,0
3,0,1,0,0,60,1,20020,0,0,0,0,0,5,2203506496,0,0,0,0,0,3,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,40,0,27000,13,0,0,0,5,1,0,0,1,0,1,1,3,0,0,1500,1,201,0
3,0,1,0,0,60,1,20020,0,0,0,0,0,5,2203506496,0,0,0,0,0,3,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,40,0,27000,13,0,0,0,5,1,0,0,1,0,1,1,3,0,0,1500,1,201,0
3,0,6,0,0,7,0,20040,0,0,0,0,0,8,2203539780,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,35,0,28000,13,0,0,0,5,1,0,0,1,0,0,1,3,0,0,1800,1,113,1
3,0,6,0,0,7,0,20040,0,0,0,0,0,8,2203539780,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,35,0,28000,13,0,0,0,5,1,0,0,1,0,0,1,3,0,0,1800,1,113,1
2,0,6,0,1,5,0,20320,1,0,0,0,1,6,2203567626,0,0,0,0,0,1,5,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,45,1,22000,13,0,0,0,1,1,1,0,1,0,0,1,2,0,0,1800,1,101,1
2,0,2,0,0,12,0,20020,1,0,1,0,1,4,2203539342,1,0,0,0,0,3,5,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,36,0,30000,13,0,0,0,5,1,0,0,1,0,1,1,3,0,0,1500,1,115,0
2,0,2,0,0,12,0,20020,1,0,1,0,1,4,2203539342,1,0,0,0,0,3,5,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,36,0,30000,13,0,0,0,5,1,0,0,1,0,1,1,3,0,0,1500,1,115,0
3,0,8,0,0,20,0,20020,1,0,0,0,1,10.22591093,2203526244,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,45,0,22000,13,0,0,0,2,1,0,0,1,0,1,1,3,0,0,1550,1,122,1
3,0,8,0,0,20,0,20020,1,0,0,0,1,10.22591093,2203526244,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,45,0,22000,13,0,0,0,2,1,0,0,1,0,1,1,3,0,0,1550,1,122,1
3,0,3,1,0,4,0,20610,0,0,0,0,1,10,2203536025,0,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,45,0,29000,13,0,1,0,3,1,0,0,1,0,0,1,3,0,0,1900,1,101,1
3,0,3,1,0,4,0,20610,0,0,0,0,1,10,2203536025,0,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,45,0,29000,13,0,1,0,3,1,0,0,1,0,0,1,3,0,0,1900,1,101,1
3,0,10,0,0,1,0,20030,0,0,0,0,1,8,2203545202,0,0,1,0,0,3,5,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,50,0,23000,13,0,0,0,3,1,1,0,1,0,1,1,3,0,0,1700,1,101,0
3,0,10,0,0,1,0,20030,0,0,0,0,1,8,2203545202,0,0,1,0,0,3,5,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,50,0,23000,13,0,0,0,3,1,1,0,1,0,1,1,3,0,0,1700,1,101,0
3,0,0,0,0,21,0,20020,1,0,0,0,1,3,2203545682,1,0,1,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,35,0,27000,13,0,0,0,1,1,0,0,1,0,0,1,3,0,0,2000,1,116,1
3,0,0,0,0,21,0,20020,1,0,0,0,1,3,2203545682,1,0,1,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,35,0,27000,13,0,0,0,1,1,0,0,1,0,0,1,3,0,0,2000,1,116,1
2,0,5,0,0,11,0,20020,1,0,0,0,1,2,2203539995,1,0,1,0,0,1,3,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,43,0,21000,13,0,0,0,2,1,0,0,1,0,0,1,3,0,0,2000,1,108,1
2,0,5,0,0,11,0,20020,1,0,0,0,1,2,2203539995,1,0,1,0,0,1,3,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,43,0,21000,13,0,0,0,2,1,0,0,1,0,0,1,3,0,0,2000,1,108,1
3,0,3,1,0,16,0,20020,1,0,0,0,1,5,2203527261,1,0,1,0,0,3,5,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,38,0,28000,13,0,0,0,1,1,1,0,1,0,0,1,3,0,0,1800,1,101,0
3,0,3,1,0,16,0,20020,1,0,0,0,1,5,2203527261,1,0,1,0,0,3,5,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,38,0,28000,13,0,0,0,1,1,1,0,1,0,0,1,3,0,0,1800,1,101,0
3,0,2,0,0,5,0,20040,1,0,0,0,1,1,2203568226,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,42,0,26000,13,0,0,0,4,1,0,0,1,0,1,1,3,0,0,1750,1,102,1
3,0,1,1,0,60,0,20510,1,0,0,0,1,5,2203511565,1,0,0,0,0,1,5,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,35,0,28000,13,0,0,0,1,1,1,0,1,0,0,1,3,0,0,1800,1,101,1
3,0,1,1,0,60,0,20510,1,0,0,0,1,5,2203511565,1,0,0,0,0,1,5,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,35,0,28000,13,0,0,0,1,1,1,0,1,0,0,1,3,0,0,1800,1,101,1
3,0,6,0,0,13,0,20020,1,0,1,0,1,5,2203566810,0,0,0,0,0,3,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,43,0,30000,13,0,0,0,4,1,0,0,1,0,1,1,3,0,0,1600,1,101,1
3,0,10,0,0,2,0,20020,1,1,0,0,1,10,2203567590,0,0,0,0,0,1,5,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,40,0,27000,13,0,0,0,1,2,0,0,1,0,1,1,3,0,0,1450,1,120,1
2,0,3,0,0,6,0,20020,1,0,0,0,1,8,2203551163,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,35,0,27000,13,0,0,0,2,1,0,0,1,0,1,1,3,0,0,1600,1,108,1
3,0,0,0,0,5,0,22020,0,0,0,0,1,6,2203555449,0,0,0,0,0,1,5,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,40,0,29000,13,0,0,0,4,1,1,0,1,0,1,1,3,0,0,1600,1,122,1
3,0,3,1,0,24,0,20020,1,0,0,0,1,5,2203527260,1,0,1,0,0,3,5,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,35,0,28000,13,0,0,0,1,1,1,0,1,0,0,1,3,0,0,1800,1,101,0
3,0,3,1,0,24,0,20020,1,0,0,0,1,5,2203527260,1,0,1,0,0,3,5,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,35,0,28000,13,0,0,0,1,1,1,0,1,0,0,1,3,0,0,1800,1,101,0
3,0,3,0,0,3,0,20020,0,0,0,0,1,7,2203567848,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,40,0,29000,13,0,1,0,3,1,0,0,1,0,1,1,3,0,0,1600,1,123,1
3,0,5,1,0,10,0,20020,0,0,0,0,0,3,2203569320,1,0,0,0,0,1,5,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,30,0,21000,13,0,0,0,1,1,0,0,1,0,0,1,3,0,0,1800,1,104,1
3,0,3,0,0,7,0,22010,1,0,1,0,1,5,2203555033,1,0,1,0,0,3,5,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,38,1,30000,13,0,0,0,5,1,0,0,1,0,1,1,3,0,0,1550,1,201,1
3,0,3,0,0,43,0,22030,0,0,0,0,1,1,2203488009,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,40,0,27000,13,0,0,0,1,1,0,0,1,0,0,1,3,0,0,2000,1,101,1
3,0,3,0,0,43,0,22030,0,0,0,0,1,1,2203488009,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,40,0,27000,13,0,0,0,1,1,0,0,1,0,0,1,3,0,0,2000,1,101,1
3,0,5,1,0,17,0,20510,1,0,0,0,1,5,2203527442,1,0,1,0,0,3,5,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,36,0,28000,13,0,0,0,1,1,1,0,1,0,0,1,3,0,0,1800,1,101,0
3,0,5,1,0,17,0,20510,1,0,0,0,1,5,2203527442,1,0,1,0,0,3,5,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,36,0,28000,13,0,0,0,1,1,1,0,1,0,0,1,3,0,0,1800,1,101,0
3,0,5,0,0,4,0,20020,1,0,0,0,1,3,2203531747,1,0,0,0,0,3,5,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,46,1,27000,13,0,0,0,1,1,1,0,1,0,1,1,3,0,0,1700,1,101,1
3,0,5,0,0,4,0,20020,1,0,0,0,1,3,2203531747,1,0,0,0,0,3,5,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,46,1,27000,13,0,0,0,1,1,1,0,1,0,1,1,3,0,0,1700,1,101,1
3,0,7,1,0,7,0,20020,0,0,0,0,0,5,2203561826,1,0,1,0,0,1,5,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,39,0,23000,13,0,0,0,1,1,0,0,1,0,0,1,3,0,0,2550,1,105,1
3,0,8,0,0,9,0,20030,0,0,0,0,1,5,2203570174,0,0,0,0,0,3,5,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,33,0,29200,13,0,0,0,2,1,1,0,1,0,1,1,3,0,0,1550,1,102,1
3,0,5,1,0,2,0,20020,0,0,0,0,1,1,2203550996,0,0,1,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,39,0,27000,13,0,0,0,3,1,0,0,1,0,0,1,3,0,0,2650,1,110,1
3,0,5,1,0,2,0,20020,0,0,0,0,1,1,2203550996,0,0,1,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,39,0,27000,13,0,0,0,3,1,0,0,1,0,0,1,3,0,0,2650,1,110,1
3,0,8,0,0,9,0,20020,0,0,0,0,1,3,2203545362,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,40,0,29000,13,0,0,0,1,1,0,0,1,0,1,1,3,0,0,1700,1,108,1
3,0,8,0,0,9,0,20020,0,0,0,0,1,3,2203545362,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,40,0,29000,13,0,0,0,1,1,0,0,1,0,1,1,3,0,0,1700,1,108,1
3,0,5,1,0,10,0,20020,0,0,0,0,0,3,2203543492,1,0,0,0,0,1,5,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,30,0,21000,13,0,0,0,1,1,0,0,1,0,0,1,3,0,0,1800,1,104,1
3,0,5,1,0,10,0,20020,0,0,0,0,0,3,2203543492,1,0,0,0,0,1,5,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,30,0,21000,13,0,0,0,1,1,0,0,1,0,0,1,3,0,0,1800,1,104,1
3,0,0,0,0,40,0,20020,1,0,0,0,1,5,2203566628,1,0,1,0,0,3,5,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,38,0,28000,13,0,0,0,5,1,0,0,1,0,1,1,3,0,0,1450,1,202,0
3,0,3,1,0,4,0,20040,0,0,0,0,1,10,2203564269,1,0,0,0,0,1,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,49,0,22000,13,0,0,0,1,1,0,0,1,0,1,1,3,0,0,1600,1,106,1
4,0,4,0,0,8,0,20020,0,0,0,0,1,3,2203562680,1,0,0,0,0,1,5,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,35,0,27000,13,0,1,0,5,2,0,0,1,0,1,1,3,0,0,1600,1,123,0
3,0,1,1,0,13,0,20020,0,0,0,0,1,15,2203540785,1,0,0,0,0,3,5,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,39,0,28000,13,0,0,0,5,1,1,0,1,0,1,1,3,0,0,1420,1,204,0
3,0,1,1,0,13,0,20020,0,0,0,0,1,15,2203540785,1,0,0,0,0,3,5,1,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,39,0,28000,13,0,0,0,5,1,1,0,1,0,1,1,3,0,0,1420,1,204,0
